SERIALIZABLE,1000,2,702,0, no
SERIALIZABLE,1000,10,925,0, no
SERIALIZABLE,1000,100,912,0, no
SERIALIZABLE,1000,2,703,50, no
SERIALIZABLE,1000,10,932,50, no
SERIALIZABLE,1000,100,919,50, no
SERIALIZABLE,1000,2,693,500, no
SERIALIZABLE,1000,10,928,500, no
SERIALIZABLE,1000,100,931,500, no
SERIALIZABLE,1000,2,680,1000, no
SERIALIZABLE,1000,10,938,1000, no
SERIALIZABLE,1000,100,932,1000, no
SERIALIZABLE,1000,1000,921,0, no
SERIALIZABLE,1000,1000,920,50, no
SERIALIZABLE,1000,1000,934,500, no
SERIALIZABLE,1000,1000,931,1000, no
REPEATABLE READ,1000,2,128,0, no
REPEATABLE READ,1000,10,519,0, no
REPEATABLE READ,1000,100,675,0, no
REPEATABLE READ,1000,2,118,50, no
REPEATABLE READ,1000,10,537,50, no
REPEATABLE READ,1000,100,656,50, no
REPEATABLE READ,1000,2,119,500, no
REPEATABLE READ,1000,10,535,500, no
REPEATABLE READ,1000,100,663,500, no
REPEATABLE READ,1000,2,127,1000, no
REPEATABLE READ,1000,10,566,1000, no
REPEATABLE READ,1000,100,695,1000, no
REPEATABLE READ,1000,1000,688,0, no
REPEATABLE READ,1000,1000,660,50, no
REPEATABLE READ,1000,1000,684,500, no
REPEATABLE READ,1000,1000,689,1000, no
READ COMMITTED,1000,2,0,0, no
READ COMMITTED,1000,10,0,0, no
READ COMMITTED,1000,100,0,0, no
READ COMMITTED,1000,2,0,50, no
READ COMMITTED,1000,10,0,50, no
READ COMMITTED,1000,100,0,50, no
READ COMMITTED,1000,2,0,500, no
READ COMMITTED,1000,10,0,500, no
READ COMMITTED,1000,100,0,500, no
READ COMMITTED,1000,2,0,1000, no
READ COMMITTED,1000,10,0,1000, no
READ COMMITTED,1000,100,0,1000, no
READ COMMITTED,1000,1000,0,0, no
READ COMMITTED,1000,1000,0,50, no
READ COMMITTED,1000,1000,0,500, no
READ COMMITTED,1000,1000,0,1000, no
